model,val_deviance,mean_delta,ci_low,ci_high,probability_better
v3_ddae_moe_test,0.639790179404786,-0.021843081870214727,-0.07453003339772302,0.031836874210616435,0.7945
v2_ddae_fsce,0.6616332612750007,0.0,0.0,0.0,0.0
v3_ddae_mot,0.6743092582356639,0.012675996960663214,-0.03921515472929894,0.06211031451518454,0.3064
v3_ddae_moe_test2,0.6900151040011305,0.028381842726129827,-0.04262867435752376,0.12566285414424366,0.2686
v3_gat_taryn,0.7505987774792725,0.08896551620427186,0.03112073561282662,0.14611237781137468,0.0012
v2_ae,0.785653556992368,0.12402029571736731,0.04655848718967622,0.21335023780451798,0.0006
v2_dae,0.8086999041762778,0.14706664290127716,0.07728437501028544,0.22560225871611175,0.0
v2_dae_fuzzy,0.8100211290809197,0.14838786780591903,0.07473849044825004,0.24165945065972516,0.0
