dimension,explained_variance,val_poisson_deviance
1,0.16480517732748368,1.2304349793089275
2,0.31249051648973486,1.0162105010137727
3,0.4245037807782662,0.981817772620997
4,0.5261100457652731,0.7994464965883163
5,0.6246970090607566,0.7658325364688566
6,0.7171141912584514,0.547094070994991
7,0.8020183454732526,0.39377042160726394
8,0.8802314568276669,0.2401828741951842
9,0.9491521623438889,0.13328945543828105
10,1.0,1.0796744501417549e-10
