[dataset]
  dataset = fsq
  csv = data/tky_clean.csv
  cat_col = category
  categories = ['Dining and Drinking', 'Retail', 'Nightlife Spot', 'Community and Government', 'Travel and Transportation', 'Business and Professional Services', 'Landmarks and Outdoors', 'Arts and Entertainment', 'Health and Medicine', 'Sports and Recreation']
  half_width = 50.0
  cell = 15
  center_step = 100
  min_poi = 10
  crs = EPSG:6677

[hparams]
  LATENT_DIM = 2
  EPOCHS = 1000
  BATCH = 256
  LR = 0.001
  WEIGHT_DECAY = 1e-06
  VAL_FRAC = 0.1
  SEED = 0
  ALPHA_INIT = 0.2
  ALPHA_LEARN = False
  GAT_LR_MULT = 0.2
  GAT_DIM = 16
  GAT_HEADS = 4
  GAT_LAYERS = 2
  GAT_READOUT_DIM = 1
  N_NEIGHBORS = 15
  GRAPH_METRIC = euclidean
  EDGE_BATCH = 256
  LAMBDA_FSCE = 0.01
  WARMUP_EPOCHS = 200
  NOISE_P = 0.3
  NOISE_MODE = thinning
  NOISE_OD_P = 0.3

1233 個 patch，device=mps，噪聲 thinning p=0.3
OD：100.0% 的 patch 有觀測，總量中位數 44，最大 10449
FSCE graph：24900 條邊，a=1.5769 b=0.8951
參數量 38173（GAT 分支 11537，lr x0.2）
epoch  165 | train_nll -1.27418 | train_fsce 0.53537 | val_dev 0.77974 | expl_dev 0.47275 | gat_gain +0.03551 | alpha 0.2000
epoch  170 | train_nll -1.27834 | train_fsce 0.53493 | val_dev 0.76309 | expl_dev 0.48402 | gat_gain +0.01698 | alpha 0.2000
epoch  175 | train_nll -1.27757 | train_fsce 0.53761 | val_dev 0.75637 | expl_dev 0.48856 | gat_gain +0.02369 | alpha 0.2000
epoch  180 | train_nll -1.27643 | train_fsce 0.52018 | val_dev 0.76084 | expl_dev 0.48553 | gat_gain +0.02317 | alpha 0.2000
epoch  185 | train_nll -1.28378 | train_fsce 0.51991 | val_dev 0.75342 | expl_dev 0.49055 | gat_gain +0.02374 | alpha 0.2000 *
epoch  190 | train_nll -1.27965 | train_fsce 0.51284 | val_dev 0.75694 | expl_dev 0.48817 | gat_gain +0.01797 | alpha 0.2000
epoch  195 | train_nll -1.28306 | train_fsce 0.52826 | val_dev 0.74741 | expl_dev 0.49462 | gat_gain +0.01566 | alpha 0.2000 *
epoch  200 | train_nll -1.28004 | train_fsce 0.51640 | val_dev 0.74898 | expl_dev 0.49356 | gat_gain +0.02518 | alpha 0.2000
epoch  205 | train_nll -1.28451 | train_fsce 0.51497 | val_dev 0.74597 | expl_dev 0.49559 | gat_gain +0.04354 | alpha 0.2000 *
epoch  210 | train_nll -1.28604 | train_fsce 0.51427 | val_dev 0.74801 | expl_dev 0.49421 | gat_gain +0.03100 | alpha 0.2000
