[dataset]
  dataset = fsq
  csv = data/tky_clean.csv
  cat_col = category
  categories = ['Dining and Drinking', 'Retail', 'Nightlife Spot', 'Community and Government', 'Travel and Transportation', 'Business and Professional Services', 'Landmarks and Outdoors', 'Arts and Entertainment', 'Health and Medicine', 'Sports and Recreation']
  half_width = 50.0
  cell = 15
  center_step = 100
  min_poi = 10
  crs = EPSG:6677

[hparams]
  LATENT_DIM = 2
  EPOCHS = 1000
  BATCH = 256
  LR = 0.001
  WEIGHT_DECAY = 1e-06
  VAL_FRAC = 0.1
  SEED = 0
  ALPHA_INIT = 0.1
  ALPHA_LEARN = False
  GAT_LR_MULT = 0.2
  GAT_DIM = 16
  GAT_HEADS = 4
  GAT_LAYERS = 2
  GAT_READOUT_DIM = 1
  N_NEIGHBORS = 15
  GRAPH_METRIC = euclidean
  EDGE_BATCH = 256
  LAMBDA_FSCE = 0.01
  WARMUP_EPOCHS = 200
  NOISE_P = 0.3
  NOISE_MODE = thinning
  NOISE_OD_P = 0.3

1233 個 patch，device=mps，噪聲 thinning p=0.3
OD：100.0% 的 patch 有觀測，總量中位數 44，最大 10449
FSCE graph：24900 條邊，a=1.5769 b=0.8951
參數量 55071（GAT 分支 11537，lr x0.2）
epoch  170 | train_nll -1.28781 | train_fsce 0.54049 | val_dev 0.74991 | expl_dev 0.49293 | gat_gain +0.04098 | alpha 0.1000
epoch  175 | train_nll -1.29294 | train_fsce 0.52226 | val_dev 0.74048 | expl_dev 0.49930 | gat_gain +0.04119 | alpha 0.1000 *
epoch  180 | train_nll -1.29099 | train_fsce 0.51081 | val_dev 0.74217 | expl_dev 0.49816 | gat_gain +0.02960 | alpha 0.1000
epoch  185 | train_nll -1.28530 | train_fsce 0.53495 | val_dev 0.75079 | expl_dev 0.49233 | gat_gain +0.03180 | alpha 0.1000
epoch  190 | train_nll -1.28866 | train_fsce 0.52861 | val_dev 0.75926 | expl_dev 0.48661 | gat_gain +0.01967 | alpha 0.1000
epoch  195 | train_nll -1.29570 | train_fsce 0.51624 | val_dev 0.74061 | expl_dev 0.49922 | gat_gain +0.03058 | alpha 0.1000
epoch  200 | train_nll -1.29593 | train_fsce 0.51023 | val_dev 0.74038 | expl_dev 0.49937 | gat_gain +0.04026 | alpha 0.1000 *
epoch  205 | train_nll -1.29804 | train_fsce 0.52236 | val_dev 0.78186 | expl_dev 0.47132 | gat_gain +0.05778 | alpha 0.1000
epoch  210 | train_nll -1.29558 | train_fsce 0.52980 | val_dev 0.77288 | expl_dev 0.47740 | gat_gain +0.06465 | alpha 0.1000
epoch  215 | train_nll -1.28555 | train_fsce 0.53638 | val_dev 0.76774 | expl_dev 0.48087 | gat_gain +0.04529 | alpha 0.1000
