[dataset]
  dataset = fsq
  csv = data/tky_clean.csv
  cat_col = category
  categories = ['Dining and Drinking', 'Retail', 'Nightlife Spot', 'Community and Government', 'Travel and Transportation', 'Business and Professional Services', 'Landmarks and Outdoors', 'Arts and Entertainment', 'Health and Medicine', 'Sports and Recreation']
  half_width = 50.0
  cell = 15
  center_step = 100
  min_poi = 10
  crs = EPSG:6677

[hparams]
  LATENT_DIM = 2
  EPOCHS = 1000
  BATCH = 256
  LR = 0.001
  WEIGHT_DECAY = 1e-06
  VAL_FRAC = 0.1
  SEED = 0
  ALPHA_INIT = 0.5
  ALPHA_LEARN = False
  GAT_LR_MULT = 0.2
  GAT_DIM = 16
  GAT_HEADS = 4
  GAT_LAYERS = 2
  GAT_READOUT_DIM = 1
  N_NEIGHBORS = 15
  GRAPH_METRIC = euclidean
  EDGE_BATCH = 256
  LAMBDA_FSCE = 0.01
  WARMUP_EPOCHS = 200
  NOISE_P = 0.3
  NOISE_MODE = thinning
  NOISE_OD_P = 0.3

1233 個 patch，device=mps，噪聲 thinning p=0.3
OD：100.0% 的 patch 有觀測，總量中位數 44，最大 10449
FSCE graph：24900 條邊，a=1.5769 b=0.8951
參數量 38173（GAT 分支 11537，lr x0.2）
epoch  165 | train_nll -1.28040 | train_fsce 0.59870 | val_dev 0.76226 | expl_dev 0.48457 | gat_gain +0.04596 | alpha 0.5000
epoch  170 | train_nll -1.28285 | train_fsce 0.59203 | val_dev 0.76763 | expl_dev 0.48095 | gat_gain +0.03661 | alpha 0.5000
epoch  175 | train_nll -1.27967 | train_fsce 0.58595 | val_dev 0.75147 | expl_dev 0.49187 | gat_gain +0.04188 | alpha 0.5000 *
epoch  180 | train_nll -1.28200 | train_fsce 0.57953 | val_dev 0.75304 | expl_dev 0.49081 | gat_gain +0.01765 | alpha 0.5000
epoch  185 | train_nll -1.28812 | train_fsce 0.56655 | val_dev 0.78084 | expl_dev 0.47201 | gat_gain +0.03187 | alpha 0.5000
epoch  190 | train_nll -1.28287 | train_fsce 0.57662 | val_dev 0.75924 | expl_dev 0.48662 | gat_gain +0.02900 | alpha 0.5000
epoch  195 | train_nll -1.29017 | train_fsce 0.56714 | val_dev 0.73876 | expl_dev 0.50047 | gat_gain +0.04353 | alpha 0.5000 *
epoch  200 | train_nll -1.29061 | train_fsce 0.57258 | val_dev 0.75011 | expl_dev 0.49279 | gat_gain +0.03228 | alpha 0.5000
epoch  205 | train_nll -1.29008 | train_fsce 0.58268 | val_dev 0.74229 | expl_dev 0.49808 | gat_gain +0.04783 | alpha 0.5000
epoch  210 | train_nll -1.29456 | train_fsce 0.57409 | val_dev 0.76253 | expl_dev 0.48439 | gat_gain +0.04940 | alpha 0.5000
epoch  215 | train_nll -1.29272 | train_fsce 0.57546 | val_dev 0.77010 | expl_dev 0.47928 | gat_gain +0.04273 | alpha 0.5000
epoch  220 | train_nll -1.28805 | train_fsce 0.56587 | val_dev 0.75975 | expl_dev 0.48627 | gat_gain +0.04467 | alpha 0.5000
epoch  225 | train_nll -1.29090 | train_fsce 0.56657 | val_dev 0.74652 | expl_dev 0.49522 | gat_gain +0.03528 | alpha 0.5000
epoch  230 | train_nll -1.29214 | train_fsce 0.56873 | val_dev 0.72874 | expl_dev 0.50724 | gat_gain +0.03735 | alpha 0.5000 *
epoch  235 | train_nll -1.29643 | train_fsce 0.55468 | val_dev 0.73606 | expl_dev 0.50229 | gat_gain +0.05436 | alpha 0.5000
