representation,dimensions,n_train,n_validation,accuracy,balanced_accuracy,macro_f1,macro_neighbor_purity
Non-Dining composition (9D),9,1109,123,0.8943089430894309,0.6936017650303364,0.6954894567797795,0.5927999427999427
Original GAT fused,2,1109,123,0.7804878048780488,0.3984647913219342,0.3779421784406554,0.3154680190394476
Original GAT count branch,2,1109,123,0.8048780487804879,0.406294049151192,0.41594202898550725,0.3429199607771037
Original GAT OD branch,2,1109,123,0.6666666666666666,0.24083777655206223,0.23594455806836073,0.29418500132785846
Non-Dining composition PCA-2D,2,1109,123,0.8292682926829268,0.3030428387571245,0.26206131767775603,0.36337715266286696
