[dataset]
  dataset = fsq
  csv = data/tky_clean.csv
  cat_col = category
  categories = ['Dining and Drinking', 'Retail', 'Nightlife Spot', 'Community and Government', 'Travel and Transportation', 'Business and Professional Services', 'Landmarks and Outdoors', 'Arts and Entertainment', 'Health and Medicine', 'Sports and Recreation']
  half_width = 50.0
  cell = 15
  center_step = 100
  min_poi = 10
  crs = EPSG:6677

[hparams]
  LATENT_DIM = 2
  EPOCHS = 1000
  BATCH = 256
  LR = 0.001
  WEIGHT_DECAY = 1e-06
  VAL_FRAC = 0.1
  SEED = 0
  N_NEIGHBORS = 15
  GRAPH_METRIC = euclidean
  EDGE_BATCH = 256
  LAMBDA_FSCE = 0.01
  WARMUP_EPOCHS = 200
  NOISE_P = 0.3
  NOISE_MODE = thinning
  N_EXPERTS = 2
  ROUTER_TEMPERATURE = 0.7
  MOE_SCALE = 1.0

1233 個 patch，device=cpu，噪聲 thinning p=0.3
FSCE graph：24904 條邊，a=1.5769 b=0.8951
epoch  200 | train_nll -1.30681 | train_fsce 0.74310 | gate_usage [0.372,0.628] | val_dev 0.71884 | expl_dev 0.51394
epoch  205 | train_nll -1.31172 | train_fsce 0.72748 | gate_usage [0.377,0.623] | val_dev 0.70484 | expl_dev 0.52340
epoch  210 | train_nll -1.30781 | train_fsce 0.71326 | gate_usage [0.397,0.603] | val_dev 0.69275 | expl_dev 0.53158
epoch  215 | train_nll -1.31229 | train_fsce 0.72162 | gate_usage [0.374,0.626] | val_dev 0.71190 | expl_dev 0.51863
epoch  220 | train_nll -1.30570 | train_fsce 0.68999 | gate_usage [0.389,0.611] | val_dev 0.69875 | expl_dev 0.52752
epoch  225 | train_nll -1.30009 | train_fsce 0.69782 | gate_usage [0.393,0.607] | val_dev 0.71112 | expl_dev 0.51916
epoch  230 | train_nll -1.30046 | train_fsce 0.73269 | gate_usage [0.367,0.633] | val_dev 0.72937 | expl_dev 0.50682
epoch  235 | train_nll -1.30335 | train_fsce 0.71305 | gate_usage [0.381,0.619] | val_dev 0.72833 | expl_dev 0.50752
epoch  240 | train_nll -1.30478 | train_fsce 0.71404 | gate_usage [0.374,0.626] | val_dev 0.71338 | expl_dev 0.51763
epoch  245 | train_nll -1.31336 | train_fsce 0.71367 | gate_usage [0.378,0.622] | val_dev 0.69561 | expl_dev 0.52964
epoch  250 | train_nll -1.29497 | train_fsce 0.66057 | gate_usage [0.366,0.634] | val_dev 0.68925 | expl_dev 0.53394
epoch  255 | train_nll -1.32128 | train_fsce 0.74311 | gate_usage [0.366,0.634] | val_dev 0.67852 | expl_dev 0.54120
epoch  260 | train_nll -1.31114 | train_fsce 0.70759 | gate_usage [0.373,0.627] | val_dev 0.69413 | expl_dev 0.53064
epoch  265 | train_nll -1.31313 | train_fsce 0.66955 | gate_usage [0.391,0.609] | val_dev 0.70371 | expl_dev 0.52417
epoch  270 | train_nll -1.30935 | train_fsce 0.71454 | gate_usage [0.358,0.642] | val_dev 0.71209 | expl_dev 0.51850
epoch  275 | train_nll -1.30998 | train_fsce 0.71645 | gate_usage [0.375,0.625] | val_dev 0.69858 | expl_dev 0.52764
epoch  280 | train_nll -1.31921 | train_fsce 0.70098 | gate_usage [0.360,0.640] | val_dev 0.69046 | expl_dev 0.53312
epoch  285 | train_nll -1.31121 | train_fsce 0.69796 | gate_usage [0.371,0.629] | val_dev 0.68373 | expl_dev 0.53767
epoch  290 | train_nll -1.32114 | train_fsce 0.66894 | gate_usage [0.349,0.651] | val_dev 0.69647 | expl_dev 0.52906
epoch  295 | train_nll -1.31573 | train_fsce 0.66863 | gate_usage [0.368,0.632] | val_dev 0.69876 | expl_dev 0.52751
epoch  300 | train_nll -1.31073 | train_fsce 0.69858 | gate_usage [0.365,0.635] | val_dev 0.71593 | expl_dev 0.51590
epoch  305 | train_nll -1.31199 | train_fsce 0.69293 | gate_usage [0.336,0.664] | val_dev 0.71459 | expl_dev 0.51681
