類別,加入點數,移動距離_不穩定性,重建損失提升
餐飲,1,0.0319,-0.0067
餐飲,2,0.0622,0.0045
餐飲,3,0.0909,0.0297
零售,1,0.0979,-0.0019
零售,2,0.1586,0.0226
零售,3,0.2050,0.0574
商業服務,1,0.0746,0.0327
商業服務,2,0.1377,0.2286
商業服務,3,0.1951,0.5026
藝文娛樂,1,0.0850,0.0580
藝文娛樂,2,0.1159,0.2645
藝文娛樂,3,0.1488,0.5391
