類別,加入點數,移動距離_不穩定性,重建損失提升
餐飲,1,0.0445,-0.0009
餐飲,2,0.0882,0.0255
餐飲,3,0.1317,0.0676
零售,1,0.1220,0.0266
零售,2,0.2157,0.0594
零售,3,0.2859,0.0931
商業服務,1,0.0661,0.0424
商業服務,2,0.1384,0.2561
商業服務,3,0.2129,0.5182
藝文娛樂,1,0.0905,0.0480
藝文娛樂,2,0.1841,0.2742
藝文娛樂,3,0.2710,0.5554
